areasymbol,musym,muname,mukind,comppct_l,comppct_h,compname,compkind,runoff,tfact,wei,weg,erocl,soilslippot,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,cokey,slopelen_r,reannualpr_r,esrisymbology,kffact,mukey,Shape_Length,Shape_Area,mukey_cokey
CA708,21,"Gerle family-Kicker family, sedimentry association, 0 to 35 percent slopes.",Association,,,Gerle,Family,Low,3,86,3,,,"Coarse-loamy, mixed, frigid Typic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Typic Xerumbrepts,coarse-loamy,,25434846,,,Inceptisols,0.230000004172325,470994,10352.212297380447126,3324548.473489887081087,470994_25434846
CA708,21,"Gerle family-Kicker family, sedimentry association, 0 to 35 percent slopes.",Association,,,Gerle,Family,Low,3,86,3,,,"Coarse-loamy, mixed, frigid Typic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Typic Xerumbrepts,coarse-loamy,,25434846,,,Inceptisols,0.230000004172325,470994,5670.936518653928033,2090602.578615441219881,470994_25434846
CA708,21,"Gerle family-Kicker family, sedimentry association, 0 to 35 percent slopes.",Association,,,Gerle,Family,Low,3,86,3,,,"Coarse-loamy, mixed, frigid Typic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Typic Xerumbrepts,coarse-loamy,,25434846,,,Inceptisols,0.230000004172325,470994,20916.074210926886735,4871587.974186036735773,470994_25434846
CA708,21,"Gerle family-Kicker family, sedimentry association, 0 to 35 percent slopes.",Association,,,Gerle,Family,Low,3,86,3,,,"Coarse-loamy, mixed, frigid Typic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Typic Xerumbrepts,coarse-loamy,,25434846,,,Inceptisols,0.230000004172325,470994,5392.719394491572530,1571743.461511261528358,470994_25434846
CA708,21,"Gerle family-Kicker family, sedimentry association, 0 to 35 percent slopes.",Association,,,Gerle,Family,Low,3,86,3,,,"Coarse-loamy, mixed, frigid Typic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Typic Xerumbrepts,coarse-loamy,,25434846,,,Inceptisols,0.230000004172325,470994,1551.323204018970955,131485.117894483089913,470994_25434846
CA708,22,"Gerle family-Kicker family, sedimentary association, 35 to 70 percent slopes",Association,,,Gerle,Family,Medium,3,86,3,,,"Coarse-loamy, mixed, frigid Typic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Typic Xerumbrepts,coarse-loamy,,25434852,,,Inceptisols,0.230000004172325,470995,4461.922296486446612,644993.739701116457582,470995_25434852
CA708,22,"Gerle family-Kicker family, sedimentary association, 35 to 70 percent slopes",Association,,,Gerle,Family,Medium,3,86,3,,,"Coarse-loamy, mixed, frigid Typic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Typic Xerumbrepts,coarse-loamy,,25434852,,,Inceptisols,0.230000004172325,470995,984.788879513103211,24804.095426710606262,470995_25434852
CA708,22,"Gerle family-Kicker family, sedimentary association, 35 to 70 percent slopes",Association,,,Gerle,Family,Medium,3,86,3,,,"Coarse-loamy, mixed, frigid Typic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Typic Xerumbrepts,coarse-loamy,,25434852,,,Inceptisols,0.230000004172325,470995,15792.321129689573354,4979186.441200804896653,470995_25434852
CA708,59,"Lithic Xerumbrepts-Rock Outcrop-Rubble Land association, 15 to 50 percent slopes.",Association,,,Lithic Xerumbrepts,Taxon above family,Medium,1,48,6,,,,Inceptisols,,,,,,25435004,,,Inceptisols,0.140000000596046,471032,4951.840650847916550,955084.928697447758168,471032_25435004
CA708,59,"Lithic Xerumbrepts-Rock Outcrop-Rubble Land association, 15 to 50 percent slopes.",Association,,,Lithic Xerumbrepts,Taxon above family,Medium,1,48,6,,,,Inceptisols,,,,,,25435004,,,Inceptisols,0.140000000596046,471032,3574.718297921637259,368298.341753398359288,471032_25435004
